booking_id,user_id,car_id,start_date,end_date,total_price,status,pickup_location,return_location,created_at
19,1388,3355,2025-10-30,2025-11-01,219.71,completed,Denver,Denver,2025-10-31 11:26:48.333483
20,150,8479,2025-10-30,2025-11-02,427.47,completed,Denver,Denver,2025-10-31 11:24:18.756744
21,1832,4898,2025-10-30,2025-11-06,267.92,completed,New York,New York,2025-10-31 11:25:04.819646
22,262,3904,2025-10-30,2025-11-02,667.21,cancelled,Denver,Denver,2025-10-31 11:25:42.162567
23,1833,1429,2025-10-30,2025-11-05,1438.95,completed,Seattle,Seattle,2025-10-31 11:22:32.777679
24,1990,296,2025-10-30,2025-11-05,433.87,completed,Dallas,Dallas,2025-10-31 11:21:15.853228
25,357,8842,2025-10-30,2025-11-03,682.82,completed,New York,New York,2025-10-31 11:21:07.945101
26,969,7874,2025-10-30,2025-11-04,427.82,completed,Miami,Miami,2025-10-31 11:24:18.604976
27,1873,9693,2025-10-30,2025-11-06,494.52,completed,Los Angeles,Los Angeles,2025-10-31 11:23:40.624677
28,265,8839,2025-10-30,2025-11-01,319.99,completed,Dallas,Dallas,2025-10-31 11:23:25.676052
29,92,9630,2025-10-30,2025-10-31,55.13,completed,Miami,Miami,2025-10-31 11:23:19.279111
30,1815,885,2025-10-30,2025-11-01,282.45,completed,Seattle,Seattle,2025-10-31 11:25:12.357979
31,609,5337,2025-10-30,2025-11-03,323.83,completed,Dallas,Dallas,2025-10-31 11:21:10.496977
32,1096,9764,2025-10-30,2025-11-02,359.97,completed,Seattle,Seattle,2025-10-31 11:25:28.716927
33,130,2033,2025-10-30,2025-11-02,356.38,completed,Denver,Denver,2025-10-31 11:23:40.863014
34,383,7965,2025-10-30,2025-10-31,149.39,upcoming,New York,New York,2025-10-31 11:25:28.514273
35,652,5613,2025-10-30,2025-11-02,102.76,completed,Denver,Denver,2025-10-31 11:21:23.660564
36,472,2699,2025-10-30,2025-11-01,430.37,completed,Dallas,Dallas,2025-10-31 11:21:02.475328
37,1723,1291,2025-10-30,2025-11-06,500.07,completed,New York,New York,2025-10-31 11:23:16.181708
38,227,5897,2025-10-30,2025-10-31,99.74,upcoming,Miami,Miami,2025-10-31 11:23:33.669330
39,1089,2094,2025-10-30,2025-11-03,516.8,completed,Dallas,Dallas,2025-10-31 11:22:46.893264
40,597,2706,2025-10-30,2025-11-06,486.58,upcoming,New York,New York,2025-10-31 11:25:09.534782
41,1668,1756,2025-10-30,2025-11-01,102.03,completed,Dallas,Dallas,2025-10-31 11:21:25.286043
42,1920,8446,2025-10-30,2025-11-06,914.26,completed,Denver,Denver,2025-10-31 11:26:22.482089
43,194,9569,2025-10-30,2025-11-03,321.65,completed,New York,New York,2025-10-31 11:24:42.234365
44,352,1064,2025-10-30,2025-11-06,1685.49,completed,Chicago,Chicago,2025-10-31 11:25:13.417923
45,1609,604,2025-10-30,2025-11-06,451.5,upcoming,Miami,Miami,2025-10-31 11:20:56.947894
46,1991,9421,2025-10-30,2025-11-03,441.84,completed,Atlanta,Atlanta,2025-10-31 11:21:57.559829
47,1452,3501,2025-10-30,2025-11-06,960.87,completed,Seattle,Seattle,2025-10-31 11:26:33.074277
48,1991,6637,2025-10-30,2025-11-03,933.47,completed,Seattle,Seattle,2025-10-31 11:23:07.056935
49,1949,3575,2025-10-30,2025-11-06,1349.5,completed,Dallas,Dallas,2025-10-31 11:25:18.999460
50,881,8186,2025-10-30,2025-11-05,1379.99,upcoming,Chicago,Chicago,2025-10-31 11:25:23.543989
51,564,3300,2025-10-30,2025-11-06,643.63,upcoming,Atlanta,Atlanta,2025-10-31 11:24:46.967795
52,856,4484,2025-10-30,2025-11-02,308.77,upcoming,Atlanta,Atlanta,2025-10-31 11:22:51.297141
53,1942,4610,2025-10-30,2025-11-03,812.85,completed,Phoenix,Phoenix,2025-10-31 11:21:07.790665
54,467,3506,2025-10-30,2025-11-06,301.22,completed,Atlanta,Atlanta,2025-10-31 11:24:36.344640
55,764,5033,2025-10-30,2025-11-06,1703.12,upcoming,Dallas,Dallas,2025-10-31 11:26:08.781379
56,1870,3712,2025-10-30,2025-11-01,126.14,completed,Miami,Miami,2025-10-31 11:24:46.087409
57,1984,2074,2025-10-30,2025-10-31,54.38,completed,Denver,Denver,2025-10-31 11:22:30.899274
58,160,878,2025-10-30,2025-10-31,145.41,cancelled,Atlanta,Atlanta,2025-10-31 11:22:34.010626
59,1433,6415,2025-10-30,2025-11-05,578.89,completed,Dallas,Dallas,2025-10-31 11:24:41.612937
60,906,8005,2025-10-30,2025-11-02,172.01,completed,Seattle,Seattle,2025-10-31 11:21:55.906533
61,896,7116,2025-10-30,2025-11-04,956.24,completed,New York,New York,2025-10-31 11:24:43.133736
62,991,4189,2025-10-30,2025-10-31,62.16,completed,Phoenix,Phoenix,2025-10-31 11:25:44.567137
63,1488,2954,2025-10-30,2025-11-01,216.18,completed,New York,New York,2025-10-31 11:24:30.847898
64,1410,1414,2025-10-30,2025-11-05,959.55,upcoming,Chicago,Chicago,2025-10-31 11:26:15.006424
65,454,6678,2025-10-30,2025-10-31,162.59,cancelled,Los Angeles,Los Angeles,2025-10-31 11:22:21.148286
66,639,7537,2025-10-30,2025-11-03,732.19,upcoming,Phoenix,Phoenix,2025-10-31 11:21:05.845685
67,313,6057,2025-10-30,2025-11-05,773.37,completed,Seattle,Seattle,2025-10-31 11:25:07.523075
68,408,6149,2025-10-30,2025-11-04,666.44,completed,Chicago,Chicago,2025-10-31 11:26:36.098881
69,685,6941,2025-10-30,2025-11-04,377.88,upcoming,New York,New York,2025-10-31 11:22:59.212480
70,266,8401,2025-10-30,2025-11-06,1632.77,cancelled,Atlanta,Atlanta,2025-10-31 11:22:15.045613
71,1986,4051,2025-10-30,2025-11-05,1248.9,completed,Boston,Boston,2025-10-31 11:25:10.377630
72,1553,2344,2025-10-30,2025-11-02,260.14,upcoming,Chicago,Chicago,2025-10-31 11:24:01.463898
73,549,2286,2025-10-30,2025-10-31,248.64,completed,Los Angeles,Los Angeles,2025-10-31 11:23:10.335364
74,249,6723,2025-10-30,2025-11-02,203.7,cancelled,Boston,Boston,2025-10-31 11:24:40.481685
75,532,1262,2025-10-30,2025-10-31,131.33,completed,Phoenix,Phoenix,2025-10-31 11:22:38.006510
76,571,8790,2025-10-30,2025-11-06,1613.7,completed,Dallas,Dallas,2025-10-31 11:21:40.077430
77,1215,4724,2025-10-30,2025-11-04,1082.05,completed,Miami,Miami,2025-10-31 11:24:45.817736
78,1271,8746,2025-10-30,2025-11-02,301.43,completed,New York,New York,2025-10-31 11:21:07.244238
79,196,3528,2025-10-30,2025-11-01,371.17,completed,Denver,Denver,2025-10-31 11:22:51.212766
80,261,4329,2025-10-30,2025-11-06,1655.18,completed,Seattle,Seattle,2025-10-31 11:24:24.936371
81,1416,7194,2025-10-30,2025-11-03,495.16,completed,Chicago,Chicago,2025-10-31 11:25:59.829321
82,278,3964,2025-10-30,2025-11-04,774.21,cancelled,Chicago,Chicago,2025-10-31 11:22:42.630849
83,1863,8707,2025-10-30,2025-11-03,867.68,completed,Chicago,Chicago,2025-10-31 11:25:31.904221
84,371,3182,2025-10-30,2025-11-04,679.07,completed,Los Angeles,Los Angeles,2025-10-31 11:21:52.337067
85,735,8448,2025-10-30,2025-11-03,271.17,completed,Chicago,Chicago,2025-10-31 11:25:09.680742
86,1022,9198,2025-10-30,2025-11-05,840.48,completed,Denver,Denver,2025-10-31 11:21:03.132523
87,482,9751,2025-10-30,2025-10-31,45.37,completed,Seattle,Seattle,2025-10-31 11:23:53.741894
88,1997,4130,2025-10-30,2025-11-04,557.99,completed,Chicago,Chicago,2025-10-31 11:23:33.044949
89,151,3938,2025-10-30,2025-11-03,912.55,completed,Phoenix,Phoenix,2025-10-31 11:21:18.863701
90,1019,3210,2025-10-30,2025-11-05,669.74,completed,Phoenix,Phoenix,2025-10-31 11:24:27.813679
91,14,7046,2025-10-30,2025-11-03,741.23,completed,Seattle,Seattle,2025-10-31 11:26:39.419120
92,1278,9328,2025-10-30,2025-11-02,129.15,upcoming,Denver,Denver,2025-10-31 11:25:16.507759
93,240,4222,2025-10-30,2025-11-01,332.72,completed,New York,New York,2025-10-31 11:21:15.705096
94,132,7029,2025-10-30,2025-10-31,232.26,completed,Seattle,Seattle,2025-10-31 11:25:09.862591
95,383,7714,2025-10-30,2025-11-03,765.99,completed,Chicago,Chicago,2025-10-31 11:21:15.993997
96,818,4797,2025-10-30,2025-11-03,718.44,upcoming,Chicago,Chicago,2025-10-31 11:21:16.242790
97,1631,7676,2025-10-30,2025-11-04,684.99,completed,Atlanta,Atlanta,2025-10-31 11:21:48.813040
98,1124,8191,2025-10-30,2025-11-04,398.05,completed,Miami,Miami,2025-10-31 11:25:53.752818
99,1116,5708,2025-10-30,2025-11-02,416.62,upcoming,Miami,Miami,2025-10-31 11:23:24.505573
100,1314,8085,2025-10-30,2025-11-05,820.39,completed,Seattle,Seattle,2025-10-31 11:25:17.080165
101,1243,453,2025-10-30,2025-11-03,201.1,completed,Chicago,Chicago,2025-10-31 11:21:12.425294
102,133,6158,2025-10-30,2025-11-04,927.63,cancelled,Los Angeles,Los Angeles,2025-10-31 11:24:23.446478
103,650,2209,2025-10-30,2025-11-01,76.28,completed,Dallas,Dallas,2025-10-31 11:22:56.958402
104,333,6467,2025-10-30,2025-11-02,779.78,completed,Miami,Miami,2025-10-31 11:24:38.553456
105,1420,1555,2025-10-30,2025-11-05,729.36,completed,Miami,Miami,2025-10-31 11:22:51.104541
106,705,9458,2025-10-30,2025-11-02,452.48,upcoming,Seattle,Seattle,2025-10-31 11:24:01.856580
107,1943,2165,2025-10-30,2025-11-04,179.3,completed,Denver,Denver,2025-10-31 11:23:56.379479
108,1964,6974,2025-10-30,2025-10-31,36.75,completed,Chicago,Chicago,2025-10-31 11:20:57.006089
109,7,6094,2025-10-30,2025-11-01,178.69,completed,New York,New York,2025-10-31 11:23:12.487689
110,1932,6053,2025-10-30,2025-11-03,782.81,upcoming,Boston,Boston,2025-10-31 11:24:22.062031
111,823,4911,2025-10-30,2025-11-02,170.41,completed,Miami,Miami,2025-10-31 11:26:02.945304
112,417,5638,2025-10-30,2025-11-06,748.64,upcoming,Miami,Miami,2025-10-31 11:21:35.818624
113,890,2730,2025-10-30,2025-11-03,499.76,completed,Chicago,Chicago,2025-10-31 11:22:47.771599
114,938,202,2025-10-30,2025-11-04,449.85,completed,Los Angeles,Los Angeles,2025-10-31 11:26:07.775278
115,354,7064,2025-10-30,2025-11-05,281.57,completed,Seattle,Seattle,2025-10-31 11:20:57.404133
116,343,2138,2025-10-30,2025-11-05,1233.99,upcoming,Miami,Miami,2025-10-31 11:22:18.056374
117,1852,7143,2025-10-30,2025-11-02,349.03,upcoming,Denver,Denver,2025-10-31 11:25:43.389049
118,662,180,2025-10-30,2025-11-06,1539.78,completed,Boston,Boston,2025-10-31 11:22:19.358956
119,1423,1629,2025-10-30,2025-11-06,534.24,upcoming,Denver,Denver,2025-10-31 11:23:12.894339
120,563,9227,2025-10-30,2025-10-31,147.47,completed,Phoenix,Phoenix,2025-10-31 11:25:32.007353
121,1240,7382,2025-10-30,2025-11-06,1625.59,cancelled,Boston,Boston,2025-10-31 11:22:32.475845
122,1262,3159,2025-10-30,2025-11-04,723.75,completed,Los Angeles,Los Angeles,2025-10-31 11:25:05.986690
123,1009,7772,2025-10-30,2025-11-03,544.31,completed,Boston,Boston,2025-10-31 11:26:23.690953
124,1458,320,2025-10-30,2025-11-02,427.19,completed,Los Angeles,Los Angeles,2025-10-31 11:24:39.232183
125,990,2700,2025-10-30,2025-11-04,1260.96,upcoming,Los Angeles,Los Angeles,2025-10-31 11:26:38.037710
126,881,3119,2025-10-30,2025-11-06,632.79,completed,Atlanta,Atlanta,2025-10-31 11:25:20.223188
127,446,3244,2025-10-30,2025-11-06,1132.22,completed,Chicago,Chicago,2025-10-31 11:22:31.524554
128,506,487,2025-10-30,2025-11-05,912.07,completed,Chicago,Chicago,2025-10-31 11:23:39.723478
129,406,1000,2025-10-30,2025-11-02,149.07,completed,Chicago,Chicago,2025-10-31 11:24:33.368974
130,1897,8213,2025-10-30,2025-11-05,784.38,completed,Denver,Denver,2025-10-31 11:24:10.718913
131,1554,792,2025-10-30,2025-11-05,1145.85,upcoming,Chicago,Chicago,2025-10-31 11:20:54.593927
132,698,9869,2025-10-30,2025-11-03,665.44,completed,Denver,Denver,2025-10-31 11:22:16.214854
133,840,5936,2025-10-30,2025-10-31,130.38,completed,New York,New York,2025-10-31 11:23:40.325750
134,261,9055,2025-10-30,2025-11-05,838.01,completed,Dallas,Dallas,2025-10-31 11:23:14.407430
135,161,7725,2025-10-30,2025-11-02,166.39,completed,Miami,Miami,2025-10-31 11:21:36.998931
136,608,4882,2025-10-30,2025-11-02,123.54,completed,Chicago,Chicago,2025-10-31 11:24:37.167318
137,1440,4579,2025-10-30,2025-11-02,158.95,completed,New York,New York,2025-10-31 11:25:17.837610
138,949,1456,2025-10-30,2025-11-01,212.04,completed,Dallas,Dallas,2025-10-31 11:23:34.138248
139,439,3146,2025-10-30,2025-11-05,683.43,cancelled,Boston,Boston,2025-10-31 11:26:01.159103
140,1594,4429,2025-10-30,2025-11-06,1468.9,completed,New York,New York,2025-10-31 11:25:53.423362
141,881,2921,2025-10-30,2025-11-04,766.97,upcoming,Los Angeles,Los Angeles,2025-10-31 11:25:45.487011
142,1305,5158,2025-10-30,2025-11-01,81.17,completed,Los Angeles,Los Angeles,2025-10-31 11:26:08.927876
143,684,9012,2025-10-30,2025-11-06,357.81,upcoming,Seattle,Seattle,2025-10-31 11:25:05.848423
144,1723,5075,2025-10-30,2025-11-03,610.12,completed,Denver,Denver,2025-10-31 11:21:00.708706
145,96,9848,2025-10-30,2025-11-01,417.24,upcoming,New York,New York,2025-10-31 11:21:09.330414
146,1506,2709,2025-10-30,2025-11-01,91.75,completed,Los Angeles,Los Angeles,2025-10-31 11:24:55.529328
147,1190,626,2025-10-30,2025-10-31,131.78,completed,Phoenix,Phoenix,2025-10-31 11:23:11.931936
148,836,4340,2025-10-30,2025-11-06,1192.85,upcoming,New York,New York,2025-10-31 11:24:17.226643
149,1640,9261,2025-10-30,2025-11-05,251.55,completed,New York,New York,2025-10-31 11:26:03.538595
150,388,9459,2025-10-30,2025-11-04,771.6,completed,New York,New York,2025-10-31 11:21:42.869136
151,1670,5949,2025-10-30,2025-11-02,202.68,completed,Chicago,Chicago,2025-10-31 11:20:55.578324
152,257,2621,2025-10-30,2025-11-01,161.16,completed,Boston,Boston,2025-10-31 11:24:40.729971
153,1254,7040,2025-10-30,2025-11-03,320.58,completed,Chicago,Chicago,2025-10-31 11:23:29.653495
154,1802,5313,2025-10-30,2025-11-06,1699.82,upcoming,Denver,Denver,2025-10-31 11:23:34.282365
155,872,5104,2025-10-30,2025-11-03,709.01,upcoming,Phoenix,Phoenix,2025-10-31 11:24:07.246838
156,1285,9720,2025-10-30,2025-11-06,778.48,completed,Boston,Boston,2025-10-31 11:23:09.519332
157,1308,4417,2025-10-30,2025-11-04,781.32,completed,Los Angeles,Los Angeles,2025-10-31 11:25:03.930570
158,1086,4801,2025-10-30,2025-10-31,102.46,upcoming,Atlanta,Atlanta,2025-10-31 11:21:42.691310
159,1532,4358,2025-10-30,2025-11-02,712.37,completed,Denver,Denver,2025-10-31 11:24:59.867429
160,226,797,2025-10-30,2025-11-06,999.03,upcoming,Los Angeles,Los Angeles,2025-10-31 11:26:39.498506
161,1941,2003,2025-10-30,2025-11-06,517.89,completed,Los Angeles,Los Angeles,2025-10-31 11:24:14.301187
162,856,3374,2025-10-30,2025-11-06,1097.15,completed,Miami,Miami,2025-10-31 11:25:04.061887
163,4,5255,2025-10-30,2025-11-03,842.64,completed,Boston,Boston,2025-10-31 11:21:37.337568
164,139,9768,2025-10-30,2025-11-04,1042.2,completed,Dallas,Dallas,2025-10-31 11:26:14.919097
165,316,9232,2025-10-30,2025-10-31,241.72,completed,Chicago,Chicago,2025-10-31 11:22:28.249716
166,1216,4113,2025-10-30,2025-11-03,626.82,completed,Chicago,Chicago,2025-10-31 11:26:50.760600
167,414,1582,2025-10-30,2025-11-05,741.69,completed,Boston,Boston,2025-10-31 11:23:39.096549
168,713,2464,2025-10-30,2025-11-05,1730.52,completed,Los Angeles,Los Angeles,2025-10-31 11:26:30.662210
169,67,4847,2025-10-30,2025-10-31,126.01,completed,New York,New York,2025-10-31 11:22:31.108900
170,603,3075,2025-10-30,2025-10-31,252.83,completed,Miami,Miami,2025-10-31 11:26:22.201832
171,1298,8502,2025-10-30,2025-11-05,853.88,cancelled,Los Angeles,Los Angeles,2025-10-31 11:23:01.279020
172,1520,5846,2025-10-30,2025-11-01,431.21,completed,New York,New York,2025-10-31 11:22:28.027683
173,255,8794,2025-10-30,2025-11-03,956.32,completed,Denver,Denver,2025-10-31 11:24:43.819828
174,13,1641,2025-10-30,2025-11-05,721.45,completed,Chicago,Chicago,2025-10-31 11:23:51.796544
175,1032,512,2025-10-30,2025-11-05,1072.23,upcoming,Chicago,Chicago,2025-10-31 11:24:08.525607
176,1782,6274,2025-10-30,2025-11-06,800.61,completed,Boston,Boston,2025-10-31 11:24:16.051599
177,639,8121,2025-10-30,2025-11-03,658.53,completed,Chicago,Chicago,2025-10-31 11:23:02.634561
178,1217,6988,2025-10-30,2025-11-01,131.29,cancelled,Atlanta,Atlanta,2025-10-31 11:24:38.014699
179,1121,8524,2025-10-30,2025-11-03,255.81,completed,Boston,Boston,2025-10-31 11:24:16.049543
180,474,9721,2025-10-30,2025-11-03,565.67,completed,Boston,Boston,2025-10-31 11:26:33.798064
181,434,1413,2025-10-30,2025-11-03,325.6,completed,Los Angeles,Los Angeles,2025-10-31 11:21:00.128907
182,186,7007,2025-10-30,2025-11-06,1112.82,completed,Miami,Miami,2025-10-31 11:25:31.386636
183,1252,8497,2025-10-30,2025-10-31,96.5,completed,Seattle,Seattle,2025-10-31 11:24:44.139954
184,1523,7552,2025-10-30,2025-11-05,715.22,completed,Atlanta,Atlanta,2025-10-31 11:22:25.630208
185,904,4353,2025-10-30,2025-11-03,685.46,completed,Los Angeles,Los Angeles,2025-10-31 11:21:10.579414
186,1242,9328,2025-10-30,2025-11-04,237.1,completed,Denver,Denver,2025-10-31 11:22:46.523617
187,27,1202,2025-10-30,2025-11-05,915.74,completed,Los Angeles,Los Angeles,2025-10-31 11:23:18.703817
188,1634,5544,2025-10-30,2025-10-31,165.55,upcoming,Denver,Denver,2025-10-31 11:26:19.711340
189,974,7127,2025-10-30,2025-11-03,216.39,upcoming,Chicago,Chicago,2025-10-31 11:21:39.046416
190,326,319,2025-10-30,2025-11-02,520.49,completed,Dallas,Dallas,2025-10-31 11:22:30.663133
191,501,6422,2025-10-30,2025-11-01,201.03,upcoming,Denver,Denver,2025-10-31 11:23:19.079327
192,1148,2666,2025-10-30,2025-11-03,148.73,completed,Denver,Denver,2025-10-31 11:25:14.925718
193,131,4098,2025-10-30,2025-11-03,904.28,completed,Dallas,Dallas,2025-10-31 11:21:30.507669
194,936,7799,2025-10-30,2025-11-04,707.46,completed,Chicago,Chicago,2025-10-31 11:25:36.535503
195,1370,5779,2025-10-30,2025-11-03,606.96,completed,Miami,Miami,2025-10-31 11:21:23.672714
196,1399,5305,2025-10-30,2025-11-02,205.85,completed,New York,New York,2025-10-31 11:22:17.695043
197,697,9263,2025-10-30,2025-11-05,654.51,completed,Atlanta,Atlanta,2025-10-31 11:22:05.824586
198,1678,2098,2025-10-30,2025-11-05,682.37,completed,Chicago,Chicago,2025-10-31 11:24:53.247383
199,912,5209,2025-10-30,2025-11-01,176.19,completed,Denver,Denver,2025-10-31 11:24:30.144860
200,976,4763,2025-10-30,2025-11-06,740.27,completed,Denver,Denver,2025-10-31 11:23:17.124476
201,1592,1534,2025-10-30,2025-11-03,786.21,completed,Atlanta,Atlanta,2025-10-31 11:25:32.375445
202,1323,2862,2025-10-30,2025-11-06,1433.66,completed,New York,New York,2025-10-31 11:25:43.917587
203,1715,8101,2025-10-30,2025-11-01,323.73,completed,Chicago,Chicago,2025-10-31 11:25:00.284783
204,1472,4442,2025-10-30,2025-11-05,1592.39,completed,Seattle,Seattle,2025-10-31 11:24:05.435523
205,808,3441,2025-10-30,2025-10-31,244.92,cancelled,Denver,Denver,2025-10-31 11:21:04.850088
206,93,2429,2025-10-30,2025-11-01,66.57,completed,Seattle,Seattle,2025-10-31 11:25:17.571558
207,508,1942,2025-10-30,2025-11-03,927.07,cancelled,Seattle,Seattle,2025-10-31 11:24:44.015995
208,1548,7797,2025-10-30,2025-11-01,297.03,upcoming,Seattle,Seattle,2025-10-31 11:26:41.174855
209,754,6416,2025-10-30,2025-11-02,353.56,completed,Atlanta,Atlanta,2025-10-31 11:22:48.395926
210,1369,5423,2025-10-30,2025-11-04,791.59,completed,Seattle,Seattle,2025-10-31 11:26:06.166495
211,1489,9027,2025-10-30,2025-11-06,1183.76,completed,Phoenix,Phoenix,2025-10-31 11:22:16.120818
212,1419,5765,2025-10-30,2025-11-06,1116.15,upcoming,Dallas,Dallas,2025-10-31 11:23:56.576757
213,317,1856,2025-10-30,2025-11-04,639.51,cancelled,Phoenix,Phoenix,2025-10-31 11:25:23.089776
214,1973,382,2025-10-30,2025-10-31,63.3,completed,Phoenix,Phoenix,2025-10-31 11:21:12.073159
215,1458,2260,2025-10-30,2025-11-05,1722.57,completed,Seattle,Seattle,2025-10-31 11:24:50.517700
216,343,7635,2025-10-30,2025-11-05,1175.14,completed,Miami,Miami,2025-10-31 11:24:27.359441
217,1335,448,2025-10-30,2025-10-31,281.59,upcoming,New York,New York,2025-10-31 11:24:15.932606
218,258,2320,2025-10-30,2025-10-31,123.25,cancelled,Dallas,Dallas,2025-10-31 11:21:46.375639
219,1074,1228,2025-10-30,2025-11-01,510.69,completed,Atlanta,Atlanta,2025-10-31 11:24:39.139963
220,1444,4396,2025-10-30,2025-11-04,1062.72,completed,Phoenix,Phoenix,2025-10-31 11:23:05.793937
221,1375,7859,2025-10-30,2025-11-05,882.58,cancelled,Los Angeles,Los Angeles,2025-10-31 11:24:19.222852
222,1908,4579,2025-10-30,2025-11-03,168.14,completed,New York,New York,2025-10-31 11:21:51.656044
223,860,9418,2025-10-30,2025-11-02,452.3,upcoming,Los Angeles,Los Angeles,2025-10-31 11:23:03.035827
224,600,2298,2025-10-30,2025-11-03,493.13,completed,Seattle,Seattle,2025-10-31 11:21:34.740926
225,205,4912,2025-10-30,2025-11-01,109.53,completed,Atlanta,Atlanta,2025-10-31 11:25:10.340810
226,1569,2782,2025-10-30,2025-11-04,777.94,completed,Denver,Denver,2025-10-31 11:26:36.547398
227,1826,5146,2025-10-30,2025-10-31,183.88,completed,Chicago,Chicago,2025-10-31 11:25:22.187141
228,1058,1417,2025-10-30,2025-11-05,604.39,upcoming,Phoenix,Phoenix,2025-10-31 11:26:49.979369
229,1942,7199,2025-10-30,2025-11-03,813.94,completed,Chicago,Chicago,2025-10-31 11:26:02.833064
230,1138,1941,2025-10-30,2025-10-31,154.59,completed,Phoenix,Phoenix,2025-10-31 11:25:59.495152
231,943,2202,2025-10-30,2025-11-02,540.81,completed,New York,New York,2025-10-31 11:25:33.025962
232,630,6831,2025-10-30,2025-10-31,51.3,completed,New York,New York,2025-10-31 11:22:37.237291
233,1997,5511,2025-10-30,2025-11-01,279.86,completed,New York,New York,2025-10-31 11:23:31.156307
234,1721,4398,2025-10-30,2025-11-03,820.52,completed,Phoenix,Phoenix,2025-10-31 11:23:05.992653
235,1440,9216,2025-10-30,2025-11-01,107.53,completed,Miami,Miami,2025-10-31 11:21:06.003094
236,1688,3365,2025-10-30,2025-11-01,290.59,upcoming,Phoenix,Phoenix,2025-10-31 11:22:20.316234
237,535,8234,2025-10-30,2025-11-03,562.93,cancelled,Miami,Miami,2025-10-31 11:22:38.704089
238,1208,1169,2025-10-30,2025-11-01,307.9,completed,Boston,Boston,2025-10-31 11:21:15.060163
239,786,8590,2025-10-30,2025-11-01,131.22,completed,Chicago,Chicago,2025-10-31 11:23:16.832013
240,1394,4589,2025-10-30,2025-10-31,100.56,completed,New York,New York,2025-10-31 11:24:09.966577
241,832,2588,2025-10-30,2025-11-05,532.36,cancelled,Denver,Denver,2025-10-31 11:25:35.909118
242,1413,7686,2025-10-30,2025-11-06,1391.79,completed,Boston,Boston,2025-10-31 11:23:21.012851
243,375,6439,2025-10-30,2025-11-01,211.69,completed,Los Angeles,Los Angeles,2025-10-31 11:23:20.710531
244,164,7795,2025-10-30,2025-11-01,520.01,completed,Dallas,Dallas,2025-10-31 11:26:26.855538
245,154,8024,2025-10-30,2025-10-31,153.69,cancelled,Boston,Boston,2025-10-31 11:24:46.507848
246,86,5956,2025-10-30,2025-10-31,121.03,completed,Atlanta,Atlanta,2025-10-31 11:26:13.632384
247,1436,2591,2025-10-30,2025-11-03,205.33,upcoming,Seattle,Seattle,2025-10-31 11:23:51.221331
248,1715,9817,2025-10-30,2025-11-06,1843.49,completed,Los Angeles,Los Angeles,2025-10-31 11:21:18.499199
249,1627,2692,2025-10-30,2025-11-02,798.74,completed,New York,New York,2025-10-31 11:22:38.495842
250,1388,7793,2025-10-30,2025-11-03,134.91,cancelled,Chicago,Chicago,2025-10-31 11:25:02.611869
251,1688,4815,2025-10-30,2025-11-01,189.55,completed,Dallas,Dallas,2025-10-31 11:26:24.725922
252,703,4114,2025-10-30,2025-11-03,902.06,completed,Denver,Denver,2025-10-31 11:21:37.804486
253,1576,1352,2025-10-30,2025-11-06,518.24,completed,New York,New York,2025-10-31 11:22:35.594706
254,1219,234,2025-10-30,2025-11-05,1513.06,upcoming,Dallas,Dallas,2025-10-31 11:23:07.808847
